file,scope,owner,date,handle,phtml
"partials/blog-grid.html",blog,remka,2025-08-11,cms_page_view (or blog module),"Vendor_Blog::list.phtml."
"partials/blog-header.html",blog,remka,2025-08-11,amblog_index_index,"Amasty_Blog::list/header.phtml.phtml.phtml.phtml.phtml."
"partials/blogpost-body.html",blog,remka,2025-08-11,amblog_post_view,"Amasty_Blog::post/body.phtml.phtml.phtml.phtml.phtml."
"partials/blogpost-hero.html",blog,remka,2025-08-11,amblog_post_view,"Amasty_Blog::post/hero.phtml.phtml.phtml.phtml.phtml."
"partials/brands-carousel.html",brands,remka,2025-08-11,,""
"partials/brands-grid.html",brands,remka,2025-08-11,cms_page_view,"RemkaCms::cms/brands.phtml.phtml.phtml.phtml.phtml."
"partials/category-best-rated.html",plp,remka,2025-08-11,category_view,"RemkaCatalog::category/best-rated.phtml.phtml.phtml.phtml.phtml."
"partials/category-brands-strip.html",brands,remka,2025-08-11,category_view,"RemkaCatalog::category/brands-strip.phtml.phtml.phtml.phtml.phtml."
"partials/category-breadcrumbs.html",nav,remka,2025-08-11,category_view,"Magento_Theme::html/breadcrumbs.phtml.phtml.phtml.phtml.phtml."
"partials/category-facets.html",plp,remka,2025-08-11,category_view,"Magento_LayeredNavigation::layer/view.phtml.phtml.phtml.phtml.phtml."
"partials/category-filters.html",plp,remka,2025-08-11,category_view,"Magento_LayeredNavigation::layer/view.phtml.phtml.phtml.phtml.phtml"
"partials/category-header.html",plp,remka,2025-08-11,category_view,"Magento_Catalog::category/header.phtml.phtml.phtml.phtml.phtml."
"partials/category-longdesc.html",plp,remka,2025-08-11,category_view,"Magento_Catalog::category/description.phtml.phtml.phtml.phtml.phtml."
"partials/category-pagination.html",plp,remka,2025-08-11,category_view,"Magento_Theme::html/pager.phtml.phtml.phtml.phtml.phtml."
"partials/category-productlist.html",plp,remka,2025-08-11,category_view,"Magento_Catalog::product/list.phtml.phtml.phtml.phtml.phtml."
"partials/category-recently-viewed.html",plp,remka,2025-08-11,category_view,"RemkaCatalog::category/recently-viewed.phtml.phtml.phtml.phtml.phtml."
"partials/category-subgrid.html",plp,remka,2025-08-11,category_view,"Magento_Catalog::category/list/children.phtml.phtml.phtml.phtml.phtml."
"partials/category-toolbar.html",plp,remka,2025-08-11,category_view,"Magento_Catalog::product/list/toolbar.phtml.phtml.phtml.phtml.phtml."
"partials/content-hero.html",nav,remka,2025-08-11,cms_page_view,"Magento_Cms::page/header.phtml.phtml.phtml.phtml.phtml."
"partials/content/accordion.html",accessibility,remka,2025-08-11,cms_page_view,"RemkaCms::content/accordion.phtml.phtml.phtml.phtml.phtml."
"partials/content/brand-wall.html",brands,remka,2025-08-11,cms_page_view,"RemkaCms::content/brand-wall.phtml.phtml.phtml.phtml.phtml."
"partials/content/contact-card.html",account,remka,2025-08-11,cms_page_view,"RemkaCms::content/contact-card.phtml."
"partials/content/intro-hero.html",nav,remka,2025-08-11,cms_page_view,"RemkaCms::content/intro-hero.phtml.phtml.phtml.phtml.phtml."
"partials/content/section-cards.html",nav,remka,2025-08-11,cms_page_view,"RemkaCms::content/section-cards.phtml.phtml.phtml.phtml.phtml."
"partials/footer.html",nav,remka,2025-08-11,default,"Magento_Theme::html/footer.phtml.phtml.phtml.phtml."
"partials/header.html",nav,remka,2025-08-11,default,"Magento_Theme::html/header.phtml.phtml.phtml.phtml."
"partials/home-blog-teaser.html",blog,remka,2025-08-11,,""
"partials/home-categories.html",home,remka,2025-08-11,cms_index_index,"Magento_Catalog::category/list.phtml.phtml.phtml.phtml."
"partials/home-features.html",nav,remka,2025-08-11,,""
"partials/home-hero.html",nav,remka,2025-08-11,cms_index_index,"Magento_Theme::html/home/hero.phtml.phtml.phtml.phtml."
"partials/home-popular-products.html",home,remka,2025-08-11,cms_index_index,"Magento_Catalog::product/list/home_popular.phtml.phtml.phtml.phtml."
"partials/home-usp.html",home,remka,2025-08-11,,""
"partials/minicart-drawer.html",checkout,remka,2025-08-11,default,"Magento_Checkout::minicart.phtml.phtml.phtml.phtml."
"partials/product-gallery.html",plp,remka,2025-08-11,catalog_product_view,"Magento_Catalog::product/view/gallery.phtml.phtml.phtml.phtml."
"partials/product-info.html",plp,remka,2025-08-11,catalog_product_view,"Magento_Catalog::product/view/details.phtml.phtml.phtml.phtml."
"partials/product-related.html",product,remka,2025-08-11,catalog_product_view,"Magento_Catalog::product/list/related.phtml.phtml.phtml.phtml."
"partials/service-packages.html",account,remka,2025-08-11,cms_page_view,"RemkaService::content/service-packages.phtml."
"partials/service-pricing.html",account,remka,2025-08-11,cms_page_view,"RemkaService::content/service-pricing.phtml."
